FIPS,f15m_ndays_pctlocal,PctPopUrban,HMI,MedAge,PctWNL,PctMBSA
13231,0.512,0.01,53865,38.5,86.8,0.314
13233,0.322,0.486,39208,36.2,73.5,0.229
13235,0,0.333,41550,41.1,62.4,0.289
13237,0.379,0.191,44764,43.5,66.1,0.292
13239,0,0.269,31068,46.4,50.3,0.15
13241,0.843,0.207,35423,45.8,88.9,0.286
13243,0.892,0.494,30023,42.8,36,0.239
13245,0.815,0.908,37749,33.2,38,0.301
13247,0.656,0.851,52579,36.9,40.9,0.332
13249,0,0,38425,37.1,72.1,0.269
13251,0.292,0.211,34848,39.5,54.1,0.276
13253,0,0.314,30521,43.7,63.2,0.256
13255,0.869,0.584,41534,37.2,60.8,0.25
13257,0.335,0.414,37898,40.7,84.1,0.267
13259,0.35,0,23451,37.3,27.3,0.212
13261,0.266,0.582,33796,33.8,40.9,0.31
13263,0.735,0.061,32424,45.6,38.4,0.254
13265,0.639,0,25465,45.9,36.4,0.141
13267,0,0.318,37587,36.6,59.5,0.298
13269,0.094,0,27455,39.7,57.5,0.272
13271,0.458,0.53,26634,39.2,51.1,0.297
13273,0,0.479,32628,39.6,36.1,0.213
13275,0.689,0.54,34035,39.6,58.3,0.34
13277,0.242,0.592,34591,34.5,58.7,0.303
13279,0,0.489,31189,36,62,0.254
13281,0.088,0,36570,51.1,96.5,0.282
13283,0,0.411,37894,36.8,64.9,0.198
13285,0.329,0.557,41161,36.3,60.3,0.287
13287,0.604,0.503,28326,38.7,54,0.335
13289,0,0,31234,45,56.1,0.267
13291,0.476,0,40009,50.7,95.3,0.286
13293,0,0.531,35329,40.3,68.2,0.238
13295,0.275,0.561,39963,39.7,92.1,0.274
13297,0.965,0.573,52369,37.4,78.4,0.306
13299,0.376,0.706,34572,38.4,64.9,0.302
13301,0,0,27796,42.9,36.6,0.196
13303,0.48,0.344,33652,38.9,44.1,0.271
13305,0.483,0.421,35830,37.6,72.3,0.256
13307,0,0,35718,40.6,53.3,0.366
13309,0,0,24382,37.9,59.4,0.252
13311,0.534,0.162,40670,42.3,93.8,0.273
13313,0.339,0.709,40471,34,62.2,0.228
13315,0,0,32928,39.7,59.9,0.31
13317,0.083,0.326,28983,43.4,51.9,0.267
13319,0.863,0,36173,41.1,57.8,0.203
13321,0.447,0.308,35792,39.7,69.4,0.253
16001,0.87,0.945,55210,34.8,86.5,0.416
16003,0.496,0,35434,50,94.8,0.261
16005,0.38,0.843,43534,31.4,86.4,0.341
16007,0.408,0,44964,40.5,94.7,0.257
16009,0.161,0.281,39049,44.8,85.3,0.29
16011,0.812,0.44,47941,31.8,74.9,0.284
16013,0.51,0.672,64042,40.4,78,0.344
16015,0.791,0,41056,48.4,93.2,0.377
16017,0.614,0.276,41414,45.8,94.4,0.287
16019,0.51,0.87,50872,31.7,85.3,0.346
16021,0.524,0.238,37003,42.8,92.1,0.312
16023,0.667,0,41131,41.7,93.8,0.346
16025,0.516,0,41154,44.3,90.2,0.285
16027,0.742,0.801,42105,31.6,72.3,0.267
16029,0.167,0.401,53586,37.7,93.1,0.32
16031,0.388,0.485,42039,32,72.9,0.277
16033,0.2,0,33200,32.7,56.8,0.259
16035,0.6,0.414,40134,49,92,0.295
16037,0.576,0,39541,48,94,0.271
16039,0.658,0.731,42842,30,75.1,0.277
16041,0.038,0.338,44962,31.5,91.8,0.249
16043,0.771,0.28,44520,33.5,85.1,0.264
16045,0.592,0.55,44432,42.9,89.1,0.304
16047,0.635,0.419,37050,34.3,69.6,0.266
16049,0.34,0.194,37349,48,92.4,0.257
16051,0.8,0.334,52023,30,87.7,0.336
16053,0.31,0.487,40126,31.7,66.9,0.229
16055,0.539,0.758,49002,38.9,92,0.308
16057,0.807,0.65,41735,28.3,90.6,0.399
16059,0.798,0.389,34122,49.7,95,0.318
16061,0.238,0,36000,48,88.9,0.308
16063,0.226,0,42433,32,69.3,0.21
16065,0.674,0.715,32059,22.6,91.2,0.374
16067,0.264,0.558,43266,35.3,65.2,0.22
